                            EPHEMERIDES NAUTIQUES DU SOLEIL A 0H UT - ANNEE 2027
                            ====================================================
 
|     Date    |Jr.|   AHvo   |Var AHvo|    Dec    |Var Dec|   AHso   |  T.Pass  |   Lever    |   Coucher   |
|             |   |    °    '|       °|     °    '|      '|    °    '|  h  m  s | h  m (Az°) |  h  m (Az°) |
| 2027 Jan  1 | V | 179 12.0 | 14.995 | S 23  2.2 | -0.21 | 100 25.5 | 12  3 26 | 7 38 (123) | 16 29 (237) |
| 2027 Jan  2 | S | 179  4.9 | 14.995 | S 22 57.2 | -0.23 | 101 24.6 | 12  3 55 | 7 38 (122) | 16 30 (238) |
| 2027 Jan  3 | D | 178 57.9 | 14.995 | S 22 51.8 | -0.24 | 102 23.8 | 12  4 22 | 7 38 (122) | 16 31 (238) |
| 2027 Jan  4 | L | 178 51.0 | 14.995 | S 22 45.9 | -0.26 | 103 22.9 | 12  4 50 | 7 38 (122) | 16 32 (238) |
| 2027 Jan  5 | M | 178 44.2 | 14.995 | S 22 39.6 | -0.28 | 104 22.0 | 12  5 17 | 7 38 (122) | 16 33 (238) |
| 2027 Jan  6 | M | 178 37.5 | 14.995 | S 22 32.8 | -0.30 | 105 21.2 | 12  5 44 | 7 38 (122) | 16 34 (238) |
| 2027 Jan  7 | J | 178 30.9 | 14.995 | S 22 25.6 | -0.32 | 106 20.3 | 12  6 10 | 7 38 (122) | 16 35 (238) |
| 2027 Jan  8 | V | 178 24.4 | 14.996 | S 22 17.9 | -0.34 | 107 19.5 | 12  6 35 | 7 38 (121) | 16 36 (239) |
| 2027 Jan  9 | S | 178 18.0 | 14.996 | S 22  9.8 | -0.36 | 108 18.6 | 12  7  1 | 7 37 (121) | 16 37 (239) |
| 2027 Jan 10 | D | 178 11.8 | 14.996 | S 22  1.3 | -0.37 | 109 17.8 | 12  7 25 | 7 37 (121) | 16 38 (239) |
| 2027 Jan 11 | L | 178  5.7 | 14.996 | S 21 52.3 | -0.39 | 110 16.9 | 12  7 49 | 7 37 (121) | 16 39 (239) |
| 2027 Jan 12 | M | 177 59.8 | 14.996 | S 21 42.9 | -0.41 | 111 16.0 | 12  8 13 | 7 36 (121) | 16 40 (240) |
| 2027 Jan 13 | M | 177 54.0 | 14.996 | S 21 33.1 | -0.43 | 112 15.2 | 12  8 36 | 7 36 (120) | 16 42 (240) |
| 2027 Jan 14 | J | 177 48.3 | 14.996 | S 21 22.8 | -0.44 | 113 14.3 | 12  8 58 | 7 35 (120) | 16 43 (240) |
| 2027 Jan 15 | V | 177 42.9 | 14.996 | S 21 12.2 | -0.46 | 114 13.4 | 12  9 19 | 7 35 (120) | 16 44 (240) |
| 2027 Jan 16 | S | 177 37.6 | 14.996 | S 21  1.1 | -0.48 | 115 12.6 | 12  9 40 | 7 34 (119) | 16 45 (241) |
| 2027 Jan 17 | D | 177 32.5 | 14.997 | S 20 49.7 | -0.49 | 116 11.7 | 12 10  0 | 7 34 (119) | 16 47 (241) |
| 2027 Jan 18 | L | 177 27.5 | 14.997 | S 20 37.8 | -0.51 | 117 10.9 | 12 10 20 | 7 33 (119) | 16 48 (241) |
| 2027 Jan 19 | M | 177 22.8 | 14.997 | S 20 25.6 | -0.53 | 118 10.0 | 12 10 38 | 7 32 (119) | 16 49 (242) |
| 2027 Jan 20 | M | 177 18.2 | 14.997 | S 20 13.0 | -0.54 | 119  9.1 | 12 10 56 | 7 32 (118) | 16 51 (242) |
| 2027 Jan 21 | J | 177 13.8 | 14.997 | S 19 60.0 | -0.56 | 120  8.3 | 12 11 13 | 7 31 (118) | 16 52 (242) |
| 2027 Jan 22 | V | 177  9.6 | 14.997 | S 19 46.6 | -0.57 | 121  7.4 | 12 11 30 | 7 30 (118) | 16 53 (243) |
| 2027 Jan 23 | S | 177  5.6 | 14.997 | S 19 32.8 | -0.59 | 122  6.6 | 12 11 45 | 7 29 (117) | 16 55 (243) |
| 2027 Jan 24 | D | 177  1.8 | 14.997 | S 19 18.7 | -0.60 | 123  5.7 | 12 12  0 | 7 28 (117) | 16 56 (243) |
| 2027 Jan 25 | L | 176 58.2 | 14.998 | S 19  4.3 | -0.62 | 124  4.8 | 12 12 14 | 7 27 (116) | 16 57 (244) |
| 2027 Jan 26 | M | 176 54.8 | 14.998 | S 18 49.5 | -0.63 | 125  4.0 | 12 12 28 | 7 26 (116) | 16 59 (244) |
| 2027 Jan 27 | M | 176 51.6 | 14.998 | S 18 34.3 | -0.65 | 126  3.1 | 12 12 40 | 7 26 (116) | 17 00 (244) |
| 2027 Jan 28 | J | 176 48.5 | 14.998 | S 18 18.8 | -0.66 | 127  2.3 | 12 12 52 | 7 25 (115) | 17 02 (245) |
| 2027 Jan 29 | V | 176 45.7 | 14.998 | S 18  3.0 | -0.67 | 128  1.4 | 12 13  3 | 7 23 (115) | 17 03 (245) |
| 2027 Jan 30 | S | 176 43.1 | 14.998 | S 17 46.8 | -0.69 | 129  0.5 | 12 13 13 | 7 22 (115) | 17 05 (246) |
| 2027 Jan 31 | D | 176 40.7 | 14.998 | S 17 30.4 | -0.70 | 129 59.7 | 12 13 22 | 7 21 (114) | 17 06 (246) |
| 2027 Fev  1 | L | 176 38.4 | 14.999 | S 17 13.6 | -0.71 | 130 58.8 | 12 13 31 | 7 20 (114) | 17 07 (246) |
| 2027 Fev  2 | M | 176 36.4 | 14.999 | S 16 56.5 | -0.72 | 131 58.0 | 12 13 38 | 7 19 (113) | 17 09 (247) |
| 2027 Fev  3 | M | 176 34.6 | 14.999 | S 16 39.1 | -0.74 | 132 57.1 | 12 13 45 | 7 18 (113) | 17 10 (247) |
| 2027 Fev  4 | J | 176 32.9 | 14.999 | S 16 21.4 | -0.75 | 133 56.2 | 12 13 51 | 7 17 (112) | 17 12 (248) |
| 2027 Fev  5 | V | 176 31.5 | 14.999 | S 16  3.5 | -0.76 | 134 55.4 | 12 13 57 | 7 15 (112) | 17 13 (248) |
| 2027 Fev  6 | S | 176 30.3 | 14.999 | S 15 45.2 | -0.77 | 135 54.5 | 12 14  1 | 7 14 (112) | 17 15 (249) |
| 2027 Fev  7 | D | 176 29.2 | 14.999 | S 15 26.7 | -0.78 | 136 53.7 | 12 14  5 | 7 13 (111) | 17 16 (249) |
| 2027 Fev  8 | L | 176 28.4 | 15.000 | S 15  7.9 | -0.79 | 137 52.8 | 12 14  8 | 7 11 (111) | 17 17 (250) |
| 2027 Fev  9 | M | 176 27.8 | 15.000 | S 14 48.9 | -0.80 | 138 51.9 | 12 14 10 | 7 10 (110) | 17 19 (250) |
| 2027 Fev 10 | M | 176 27.4 | 15.000 | S 14 29.6 | -0.81 | 139 51.1 | 12 14 11 | 7 09 (110) | 17 20 (251) |
| 2027 Fev 11 | J | 176 27.1 | 15.000 | S 14 10.1 | -0.82 | 140 50.2 | 12 14 12 | 7 07 (109) | 17 22 (251) |
| 2027 Fev 12 | V | 176 27.1 | 15.000 | S 13 50.4 | -0.83 | 141 49.3 | 12 14 11 | 7 06 (109) | 17 23 (251) |
| 2027 Fev 13 | S | 176 27.3 | 15.000 | S 13 30.4 | -0.84 | 142 48.5 | 12 14 10 | 7 04 (108) | 17 25 (252) |
| 2027 Fev 14 | D | 176 27.6 | 15.000 | S 13 10.2 | -0.85 | 143 47.6 | 12 14  9 | 7 03 (108) | 17 26 (252) |
| 2027 Fev 15 | L | 176 28.1 | 15.001 | S 12 49.8 | -0.86 | 144 46.8 | 12 14  6 | 7 01 (107) | 17 27 (253) |
| 2027 Fev 16 | M | 176 28.9 | 15.001 | S 12 29.1 | -0.87 | 145 45.9 | 12 14  3 | 7 00 (107) | 17 29 (253) |
| 2027 Fev 17 | M | 176 29.8 | 15.001 | S 12  8.3 | -0.88 | 146 45.0 | 12 13 59 | 6 58 (106) | 17 30 (254) |
| 2027 Fev 18 | J | 176 30.9 | 15.001 | S 11 47.3 | -0.88 | 147 44.2 | 12 13 54 | 6 57 (106) | 17 32 (254) |
| 2027 Fev 19 | V | 176 32.1 | 15.001 | S 11 26.1 | -0.89 | 148 43.3 | 12 13 49 | 6 55 (105) | 17 33 (255) |
| 2027 Fev 20 | S | 176 33.6 | 15.001 | S 11  4.8 | -0.90 | 149 42.5 | 12 13 43 | 6 54 (105) | 17 35 (255) |
| 2027 Fev 21 | D | 176 35.2 | 15.001 | S 10 43.2 | -0.90 | 150 41.6 | 12 13 36 | 6 52 (104) | 17 36 (256) |
| 2027 Fev 22 | L | 176 36.9 | 15.001 | S 10 21.5 | -0.91 | 151 40.7 | 12 13 28 | 6 50 (104) | 17 37 (257) |
| 2027 Fev 23 | M | 176 38.9 | 15.001 | S  9 59.6 | -0.92 | 152 39.9 | 12 13 20 | 6 49 (103) | 17 39 (257) |
| 2027 Fev 24 | M | 176 40.9 | 15.002 | S  9 37.6 | -0.92 | 153 39.0 | 12 13 12 | 6 47 (103) | 17 40 (258) |
| 2027 Fev 25 | J | 176 43.2 | 15.002 | S  9 15.4 | -0.93 | 154 38.1 | 12 13  3 | 6 45 (102) | 17 41 (258) |
| 2027 Fev 26 | V | 176 45.5 | 15.002 | S  8 53.1 | -0.94 | 155 37.3 | 12 12 53 | 6 44 (102) | 17 43 (259) |
| 2027 Fev 27 | S | 176 48.0 | 15.002 | S  8 30.7 | -0.94 | 156 36.4 | 12 12 43 | 6 42 (101) | 17 44 (259) |
| 2027 Fev 28 | D | 176 50.7 | 15.002 | S  8  8.1 | -0.95 | 157 35.6 | 12 12 32 | 6 40 (101) | 17 46 (260) |
| 2027 Mar  1 | L | 176 53.4 | 15.002 | S  7 45.4 | -0.95 | 158 34.7 | 12 12 20 | 6 38 (100) | 17 47 (260) |
| 2027 Mar  2 | M | 176 56.3 | 15.002 | S  7 22.6 | -0.95 | 159 33.8 | 12 12  9 | 6 37 ( 99) | 17 48 (261) |
| 2027 Mar  3 | M | 176 59.3 | 15.002 | S  6 59.7 | -0.96 | 160 33.0 | 12 11 56 | 6 35 ( 99) | 17 50 (261) |
| 2027 Mar  4 | J | 177  2.5 | 15.002 | S  6 36.7 | -0.96 | 161 32.1 | 12 11 44 | 6 33 ( 98) | 17 51 (262) |
| 2027 Mar  5 | V | 177  5.7 | 15.002 | S  6 13.5 | -0.97 | 162 31.3 | 12 11 30 | 6 31 ( 98) | 17 52 (262) |
