                            EPHEMERIDES NAUTIQUES DU SOLEIL A 0H UT - ANNEE 2028
                            ====================================================

|     Date    |Jr.|   AHvo   |Var AHvo|    Dec    |Var Dec|   AHso   |  T.Pass  |   Lever    |   Coucher   |
|             |   |    °    '|       °|     °    '|      '|    °    '|  h  m  s | h  m (Az°) |  h  m (Az°) |
| 2028 Jan  1 | S | 179 13.6 | 14.995 | S 23  3.3 | -0.20 | 100 11.2 | 12  3 20 | 7 38 (123) | 16 29 (237) |
| 2028 Jan  2 | D | 179  6.5 | 14.995 | S 22 58.4 | -0.22 | 101 10.4 | 12  3 48 | 7 38 (122) | 16 30 (238) |
| 2028 Jan  3 | L | 178 59.4 | 14.995 | S 22 53.1 | -0.24 | 102  9.5 | 12  4 16 | 7 38 (122) | 16 30 (238) |
| 2028 Jan  4 | M | 178 52.5 | 14.995 | S 22 47.3 | -0.26 | 103  8.6 | 12  4 44 | 7 38 (122) | 16 31 (238) |
| 2028 Jan  5 | M | 178 45.7 | 14.995 | S 22 41.1 | -0.28 | 104  7.8 | 12  5 11 | 7 38 (122) | 16 32 (238) |
| 2028 Jan  6 | J | 178 39.0 | 14.995 | S 22 34.4 | -0.30 | 105  6.9 | 12  5 38 | 7 38 (122) | 16 33 (238) |
| 2028 Jan  7 | V | 178 32.4 | 14.996 | S 22 27.3 | -0.31 | 106  6.1 | 12  6  4 | 7 38 (122) | 16 35 (238) |
| 2028 Jan  8 | S | 178 25.9 | 14.996 | S 22 19.7 | -0.33 | 107  5.2 | 12  6 29 | 7 38 (121) | 16 36 (239) |
| 2028 Jan  9 | D | 178 19.5 | 14.996 | S 22 11.7 | -0.35 | 108  4.3 | 12  6 55 | 7 37 (121) | 16 37 (239) |
| 2028 Jan 10 | L | 178 13.3 | 14.996 | S 22  3.3 | -0.37 | 109  3.5 | 12  7 19 | 7 37 (121) | 16 38 (239) |
| 2028 Jan 11 | M | 178  7.2 | 14.996 | S 21 54.5 | -0.39 | 110  2.6 | 12  7 43 | 7 37 (121) | 16 39 (239) |
| 2028 Jan 12 | M | 178  1.3 | 14.996 | S 21 45.2 | -0.40 | 111  1.8 | 12  8  7 | 7 36 (121) | 16 40 (240) |
| 2028 Jan 13 | J | 177 55.5 | 14.996 | S 21 35.5 | -0.42 | 112  0.9 | 12  8 29 | 7 36 (120) | 16 41 (240) |
| 2028 Jan 14 | V | 177 49.9 | 14.996 | S 21 25.3 | -0.44 | 113  0.0 | 12  8 52 | 7 35 (120) | 16 43 (240) |
| 2028 Jan 15 | S | 177 44.4 | 14.996 | S 21 14.8 | -0.46 | 113 59.2 | 12  9 13 | 7 35 (120) | 16 44 (240) |
| 2028 Jan 16 | D | 177 39.1 | 14.996 | S 21  3.9 | -0.47 | 114 58.3 | 12  9 34 | 7 34 (120) | 16 45 (241) |
| 2028 Jan 17 | L | 177 33.9 | 14.997 | S 20 52.5 | -0.49 | 115 57.5 | 12  9 54 | 7 34 (119) | 16 46 (241) |
| 2028 Jan 18 | M | 177 29.0 | 14.997 | S 20 40.7 | -0.51 | 116 56.6 | 12 10 14 | 7 33 (119) | 16 48 (241) |
| 2028 Jan 19 | M | 177 24.2 | 14.997 | S 20 28.6 | -0.52 | 117 55.7 | 12 10 33 | 7 32 (119) | 16 49 (242) |
| 2028 Jan 20 | J | 177 19.5 | 14.997 | S 20 16.1 | -0.54 | 118 54.9 | 12 10 51 | 7 32 (118) | 16 50 (242) |
| 2028 Jan 21 | V | 177 15.1 | 14.997 | S 20  3.2 | -0.55 | 119 54.0 | 12 11  9 | 7 31 (118) | 16 52 (242) |
| 2028 Jan 22 | S | 177 10.8 | 14.997 | S 19 49.9 | -0.57 | 120 53.2 | 12 11 25 | 7 30 (118) | 16 53 (243) |
| 2028 Jan 23 | D | 177  6.7 | 14.997 | S 19 36.2 | -0.58 | 121 52.3 | 12 11 41 | 7 29 (117) | 16 54 (243) |
| 2028 Jan 24 | L | 177  2.8 | 14.997 | S 19 22.2 | -0.60 | 122 51.4 | 12 11 56 | 7 29 (117) | 16 56 (243) |
| 2028 Jan 25 | M | 176 59.1 | 14.998 | S 19  7.8 | -0.61 | 123 50.6 | 12 12 11 | 7 28 (117) | 16 57 (244) |
| 2028 Jan 26 | M | 176 55.6 | 14.998 | S 18 53.0 | -0.63 | 124 49.7 | 12 12 24 | 7 27 (116) | 16 59 (244) |
| 2028 Jan 27 | J | 176 52.3 | 14.998 | S 18 37.9 | -0.64 | 125 48.9 | 12 12 37 | 7 26 (116) | 17 00 (244) |
| 2028 Jan 28 | V | 176 49.2 | 14.998 | S 18 22.5 | -0.66 | 126 48.0 | 12 12 49 | 7 25 (115) | 17 01 (245) |
| 2028 Jan 29 | S | 176 46.3 | 14.998 | S 18  6.8 | -0.67 | 127 47.1 | 12 13  1 | 7 24 (115) | 17 03 (245) |
| 2028 Jan 30 | D | 176 43.6 | 14.998 | S 17 50.7 | -0.68 | 128 46.3 | 12 13 11 | 7 23 (115) | 17 04 (246) |
| 2028 Jan 31 | L | 176 41.1 | 14.998 | S 17 34.3 | -0.70 | 129 45.4 | 12 13 20 | 7 22 (114) | 17 06 (246) |
| 2028 Fev  1 | M | 176 38.8 | 14.999 | S 17 17.6 | -0.71 | 130 44.5 | 12 13 29 | 7 20 (114) | 17 07 (246) |
| 2028 Fev  2 | M | 176 36.7 | 14.999 | S 17  0.6 | -0.72 | 131 43.7 | 12 13 37 | 7 19 (113) | 17 08 (247) |
| 2028 Fev  3 | J | 176 34.9 | 14.999 | S 16 43.3 | -0.73 | 132 42.8 | 12 13 44 | 7 18 (113) | 17 10 (247) |
| 2028 Fev  4 | V | 176 33.2 | 14.999 | S 16 25.6 | -0.75 | 133 42.0 | 12 13 50 | 7 17 (113) | 17 11 (248) |
| 2028 Fev  5 | S | 176 31.8 | 14.999 | S 16  7.8 | -0.76 | 134 41.1 | 12 13 56 | 7 16 (112) | 17 13 (248) |
| 2028 Fev  6 | D | 176 30.5 | 14.999 | S 15 49.6 | -0.77 | 135 40.2 | 12 14  0 | 7 14 (112) | 17 14 (249) |
| 2028 Fev  7 | L | 176 29.5 | 14.999 | S 15 31.2 | -0.78 | 136 39.4 | 12 14  4 | 7 13 (111) | 17 16 (249) |
| 2028 Fev  8 | M | 176 28.6 | 15.000 | S 15 12.5 | -0.79 | 137 38.5 | 12 14  7 | 7 12 (111) | 17 17 (249) |
| 2028 Fev  9 | M | 176 28.0 | 15.000 | S 14 53.5 | -0.80 | 138 37.7 | 12 14  9 | 7 10 (110) | 17 19 (250) |
| 2028 Fev 10 | J | 176 27.6 | 15.000 | S 14 34.3 | -0.81 | 139 36.8 | 12 14 10 | 7 09 (110) | 17 20 (250) |
| 2028 Fev 11 | V | 176 27.3 | 15.000 | S 14 14.9 | -0.82 | 140 35.9 | 12 14 11 | 7 08 (109) | 17 21 (251) |
| 2028 Fev 12 | S | 176 27.3 | 15.000 | S 13 55.2 | -0.83 | 141 35.1 | 12 14 11 | 7 06 (109) | 17 23 (251) |
| 2028 Fev 13 | D | 176 27.4 | 15.000 | S 13 35.3 | -0.84 | 142 34.2 | 12 14 10 | 7 05 (108) | 17 24 (252) |
| 2028 Fev 14 | L | 176 27.7 | 15.000 | S 13 15.1 | -0.85 | 143 33.4 | 12 14  8 | 7 03 (108) | 17 26 (252) |
| 2028 Fev 15 | M | 176 28.2 | 15.000 | S 12 54.8 | -0.86 | 144 32.5 | 12 14  6 | 7 02 (107) | 17 27 (253) |
| 2028 Fev 16 | M | 176 28.9 | 15.001 | S 12 34.2 | -0.87 | 145 31.6 | 12 14  3 | 7 00 (107) | 17 29 (253) |
| 2028 Fev 17 | J | 176 29.8 | 15.001 | S 12 13.4 | -0.87 | 146 30.8 | 12 13 59 | 6 59 (106) | 17 30 (254) |
| 2028 Fev 18 | V | 176 30.8 | 15.001 | S 11 52.5 | -0.88 | 147 29.9 | 12 13 54 | 6 57 (106) | 17 31 (254) |
| 2028 Fev 19 | S | 176 32.0 | 15.001 | S 11 31.3 | -0.89 | 148 29.1 | 12 13 49 | 6 56 (105) | 17 33 (255) |
| 2028 Fev 20 | D | 176 33.4 | 15.001 | S 11 10.0 | -0.90 | 149 28.2 | 12 13 43 | 6 54 (105) | 17 34 (255) |
| 2028 Fev 21 | L | 176 34.9 | 15.001 | S 10 48.5 | -0.90 | 150 27.3 | 12 13 37 | 6 52 (104) | 17 36 (256) |
| 2028 Fev 22 | M | 176 36.6 | 15.001 | S 10 26.8 | -0.91 | 151 26.5 | 12 13 30 | 6 51 (104) | 17 37 (256) |
| 2028 Fev 23 | M | 176 38.5 | 15.001 | S 10  4.9 | -0.92 | 152 25.6 | 12 13 22 | 6 49 (103) | 17 38 (257) |
| 2028 Fev 24 | J | 176 40.5 | 15.001 | S  9 42.9 | -0.92 | 153 24.7 | 12 13 14 | 6 47 (103) | 17 40 (257) |
